animal_id,date_samplecollection,edta_1,edta_1_position,edta_1_available,edta_2,edta_2_position,edta_2_available,edta_3,edta_3_position,edta_3_available,serum_1,serum_1_position,serum_1_available,serum_2_box,serum_2_position,serum_2_available,serum_3,serum_3_position,serum_3_available,serum_4,serum_4_position,serum_4_available,hep_1,hep_1_position,hep_1_available,hep_2,hep_2_position,hep_2_available,hep_3,hep_3_position,hep_3_available,surplus,surplus_position,surplus_available,hair,FTA_1,FTA_2,FTA_3,infant_sample,comment
24AA01_5O8B,2024-02-29,Box 1A,A1,false,Box 1B,A1,false,Box 1C,,false,Box 1D,,false,Box 1E,A1,false,Box 1F,A1,false,Box 1G,A1,false,Box 1H,A1,false,Box 1I,A1,false,Box 1J,A1,false,Box 1K,,,,,,,,
24AA02_3Z5I,2024-02-29,Box 1A,A2,false,Box 1B,A2,false,Box 1C,,false,Box 1D,,false,Box 1E,A2,false,Box 1F,A2,false,Box 1G,A2,false,Box 1H,A2,false,Box 1I,A2,false,Box 1J,A2,false,Box 1K,,,,,,,,
24AA03_2A1P,2024-02-29,Box 1A,A3,false,Box 1B,A3,false,Box 1C,,false,Box 1D,,false,Box 1E,A3,false,Box 1F,A3,false,Box 1G,A3,false,Box 1H,A3,false,Box 1I,A3,false,Box 1J,A3,false,Box 1K,,,,,,,,
24AA04_4Q6G,,Box 1A,A4,false,Box 1B,A4,false,Box 1C,,false,Box 1D,,false,Box 1E,A4,false,Box 1F,A4,false,Box 1G,A4,false,Box 1H,A4,false,Box 1I,A4,false,Box 1J,A4,false,Box 1K,,,,,,,,
24AA05_4I0L,2024-04-03,Box 1A,A5,false,Box 1B,A5,false,Box 1C,,false,Box 1D,,false,Box 1E,A5,false,Box 1F,A5,false,Box 1G,A5,false,Box 1H,A5,false,Box 1I,A5,false,Box 1J,A5,false,Box 1K,,,,,,,,
24AA06_5I8Y,2024-04-03,Box 1A,A6,false,Box 1B,A6,false,Box 1C,,false,Box 1D,,false,Box 1E,A6,false,Box 1F,A6,false,Box 1G,A6,false,Box 1H,A6,false,Box 1I,A6,false,Box 1J,A6,false,Box 1K,,,,,,,,
24AA07,,Box 1A,A7,false,Box 1B,A7,false,Box 1C,,false,Box 1D,,false,Box 1E,A7,false,Box 1F,A7,false,Box 1G,A7,false,Box 1H,A7,false,Box 1I,A7,false,Box 1J,A7,false,Box 1K,,,,,,,,
24AA08,,Box 1A,A8,false,Box 1B,A8,false,Box 1C,,false,Box 1D,,false,Box 1E,A8,false,Box 1F,A8,false,Box 1G,A8,false,Box 1H,A8,false,Box 1I,A8,false,Box 1J,A8,false,Box 1K,,,,,,,,
24AA09_2Y9R,2024-02-29,Box 1A,A9,false,Box 1B,A9,false,Box 1C,,false,Box 1D,,false,Box 1E,A9,false,Box 1F,A9,false,Box 1G,A9,false,Box 1H,A9,false,Box 1I,A9,false,Box 1J,A9,false,Box 1K,,,,,,,,
24AA10_4R7W,2024-03-01,Box 1A,B1,false,Box 1B,B1,false,Box 1C,,false,Box 1D,,false,Box 1E,B1,false,Box 1F,B1,false,Box 1G,B1,false,Box 1H,B1,false,Box 1I,B1,false,Box 1J,B1,false,Box 1K,,,,,,,,
24AA11_9A7D,2024-03-01,Box 1A,B2,false,Box 1B,B2,false,Box 1C,,false,Box 1D,,false,Box 1E,B2,false,Box 1F,B2,false,Box 1G,B2,false,Box 1H,B2,false,Box 1I,B2,false,Box 1J,B2,false,Box 1K,,,,,,,,
24AA12_6P8Q,2024-03-07,Box 1A,B3,false,Box 1B,B3,false,Box 1C,,false,Box 1D,,false,Box 1E,B3,false,Box 1F,B3,false,Box 1G,B3,false,Box 1H,B3,false,Box 1I,B3,false,Box 1J,B3,false,Box 1K,,,,,,,,
24AA14_4N0F,2024-03-10,Box 1A,B4,false,Box 1B,B4,false,Box 1C,,false,Box 1D,,false,Box 1E,B4,false,Box 1F,B4,false,Box 1G,B4,false,Box 1H,B4,false,Box 1I,B4,false,Box 1J,B4,false,Box 1K,,,,,,,,
24AA15,,Box 1A,B5,false,Box 1B,B5,false,Box 1C,,false,Box 1D,,false,Box 1E,B5,false,Box 1F,B5,false,Box 1G,B5,false,Box 1H,B5,false,Box 1I,B5,false,Box 1J,B5,false,Box 1K,,,,,,,,
24AA16_9Q8P,2024-03-07,Box 1A,B6,true,Box 1B,B6,false,Box 1C,,false,Box 1D,,true,Box 1E,B6,true,Box 1F,B6,,Box 1G,B6,,Box 1H,B6,true,Box 1I,B6,,Box 1J,B6,,Box 1K,,,,,,,,
24AA18_6O2G,,Box 1A,B7,true,Box 1B,B7,false,Box 1C,,false,Box 1D,,true,Box 1E,B7,false,Box 1F,B7,false,Box 1G,B7,false,Box 1H,B7,true,Box 1I,B7,,Box 1J,B7,,Box 1K,,,,,,,,
24AB01_9Q7V,,Box 1A,B8,true,Box 1B,B8,false,Box 1C,,false,Box 1D,,,Box 1E,B8,,Box 1F,B8,,Box 1G,B8,,Box 1H,B8,,Box 1I,B8,,Box 1J,B8,,Box 1K,,,,,,,,
24AB02_0Y5R,2024-06-04,Box 1A,B9,true,Box 1B,B9,false,Box 1C,,false,Box 1D,,,Box 1E,B9,,Box 1F,B9,,Box 1G,B9,,Box 1H,B9,,Box 1I,B9,,Box 1J,B9,,Box 1K,,,,,,,,
24AB03_4D7N,2024-06-04,Box 1A,C1,true,Box 1B,C1,false,Box 1C,,false,Box 1D,,,Box 1E,C1,,Box 1F,C1,,Box 1G,C1,,Box 1H,C1,,Box 1I,C1,,Box 1J,C1,,Box 1K,,,,,,,,
